EntrezID_1	Gene_1	EntrezID_2	Gene_2	Protein_1	Protein_2
14	AAMP	6293	VPS52	Q13685	Q8N1B4
14	AAMP	8553	BHLHE40	Q13685	O14503
14	AAMP	64782	AEN	Q13685	Q8WTP8
15	AANAT	4188	MDFI	Q16613	Q99750
15	AANAT	8553	BHLHE40	Q16613	O14503
28	ABO	65983	GRAMD3	P16442	Q96HH9
28	ABO	84283	TMEM79	P16442	Q9BSE2
39	ACAT2	84708	LNX1	Q9BWD1	Q8TBB1
60	ACTB	71	ACTG1	P60709	P63261
60	ACTB	1072	CFL1	P60709	P23528
60	ACTB	1073	CFL2	P60709	Q9Y281
60	ACTB	1962	EHHADH	P60709	Q08426
60	ACTB	10486	CAP2	P60709	P40123
60	ACTB	11034	DSTN	P60709	P60981
60	ACTB	55093	WDYHV1	P60709	Q96HA8
71	ACTG1	1072	CFL1	P63261	P23528
71	ACTG1	1073	CFL2	P63261	Q9Y281
71	ACTG1	1962	EHHADH	P63261	Q08426
71	ACTG1	10486	CAP2	P63261	P40123
71	ACTG1	11034	DSTN	P63261	P60981
71	ACTG1	28952	CCDC22	P63261	O60826
71	ACTG1	55093	WDYHV1	P63261	Q96HA8
81	ACTN4	89	ACTN3	O43707	Q08043
81	ACTN4	655	BMP7	O43707	P18075
81	ACTN4	51778	MYOZ2	O43707	Q9NPC6
87	ACTN1	89	ACTN3	P12814	Q08043
87	ACTN1	4938	OAS1	P12814	P00973
87	ACTN1	9852	EPM2AIP1	P12814	Q7L775
87	ACTN1	51778	MYOZ2	P12814	Q9NPC6
87	ACTN1	79778	MICALL2	P12814	Q8IY33
87	ACTN1	200845	KCTD6	P12814	Q8NC69
87	ACTN1	220082	SPERT	P12814	Q8NA61
88	ACTN2	4342	MOS	P35609	P00540
88	ACTN2	6615	SNAI1	P35609	O95863
88	ACTN2	6672	SP100	P35609	P23497
88	ACTN2	27295	PDLIM3	P35609	Q53GG5
88	ACTN2	51778	MYOZ2	P35609	Q9NPC6
88	ACTN2	79778	MICALL2	P35609	Q8IY33
88	ACTN2	84312	BRMS1L	P35609	Q5PSV4
88	ACTN2	158297	FAM154A	P35609	Q8IYX7
88	ACTN2	285093	RTP5	P35609	Q14D33
89	ACTN3	5966	REL	Q08043	Q04864
89	ACTN3	7185	TRAF1	Q08043	Q13077
89	ACTN3	7186	TRAF2	Q08043	Q12933
89	ACTN3	10529	NEBL	Q08043	O76041
89	ACTN3	51225	ABI3	Q08043	Q9P2A4
89	ACTN3	54778	RNF111	Q08043	Q6ZNA4
89	ACTN3	64857	PLEKHG2	Q08043	Q9H7P9
89	ACTN3	84970	C1orf94	Q08043	Q6P1W5
89	ACTN3	200845	KCTD6	Q08043	Q8NC69
95	ACY1	4521	NUDT1	Q03154	P36639
98	ACYP2	6820	SULT2B1	P14621	O00204
98	ACYP2	58487	CREBZF	P14621	Q9NS37
118	ADD1	10363	HMG20A	P35611	Q9NP66
141	ADPRH	7024	TFCP2	P54922	Q12800
163	AP2B1	293	SLC25A6	P63010	P12236
163	AP2B1	3838	KPNA2	P63010	P52292
163	AP2B1	7307	U2AF1	P63010	Q01081
163	AP2B1	10053	AP1M2	P63010	Q9Y6Q5
163	AP2B1	10411	RAPGEF3	P63010	O95398
163	AP2B1	25828	TXN2	P63010	Q99757
163	AP2B1	27125	AFF4	P63010	Q9UHB7
163	AP2B1	55145	THAP1	P63010	Q9NVV9
163	AP2B1	91419	XRCC6BP1	P63010	Q9Y6H3
163	AP2B1	129807	NEU4	P63010	Q8WWR8
164	AP1G1	8905	AP1S2	O43747	P56377
164	AP1G1	84993	UBL7	O43747	Q96S82
166	AES	604	BCL6	Q08117	P41182
166	AES	705	BYSL	Q08117	Q13895
166	AES	1406	CRX	Q08117	O43186
166	AES	1656	DDX6	Q08117	P26196
166	AES	2670	GFAP	Q08117	P14136
